Coin No.,Ruler (or Issuer),Reign,Metal,Weight (g),Dimension (mm),Mint,Date of Issue
1.1,Ikhtiyar al-Din Muhammad Bakhtiyatz Khilji (in name of Muhammad bin Sam),"1203–1206",Copper,18.60,N/A,N/A,1202
2.1,Rakn al-Din ‘Ali Mardan,"1210–1213",Silver,N/A,N/A,N/A,"1210–1212"
2.2,Rakn al-Din ‘Ali Mardan,"1210–1213",Silver,N/A,N/A,N/A,N/A
2.3,Rakn al-Din ‘Ali Mardan,"1210–1213",Silver,N/A,N/A,N/A,N/A
3.1,Ghiyath Al-Din ‘IwAD,"1213–1227",Silver,N/A,N/A,N/A,N/A
4.1,Rukn Al-Din Kaikaus,"1290–1300",Silver,11,25,Lakhawanti,689
4.2,Rukn Al-Din Kaikaus,"1290–1300",Silver,10.91,27.94,"probably Lakhawanti",689
4.3,Rukn Al-Din Kaikaus,"1290–1300",Silver,10.88,27,"probably Lakhawanti",699
5.1,Shihab Al-Din Bughda,"1317–1318",Silver,10.93,26.95,N/A,718
6.1,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.82,27.07,N/A,N/A
6.2,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.95,27,N/A,N/A
6.3,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.95,27,N/A,N/A
6.4,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.91,26.88,N/A,721
6.5,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.99,27.75,N/A,721
6.6,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.68,27.79,N/A,621
6.7,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.95,24.41,N/A,N/A
6.8,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.95,24.41,N/A,N/A
6.9,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.47,25.83,N/A,N/A
6.10,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.82,27.07,"Qasba Gyaspur",N/A
6.11,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.71,27.44,Lakhawanti,720
6.12,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10,24,N/A,720
6.13,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.47,25.83,N/A,N/A
6.14,Ghiyath Al-Din Bahadur Shah,"1322–1328",Silver,10.87,26.93,N/A,N/A
7.1,Muhammad Bin Tughluq,"1325–1351",Silver,14.45,22,Sunargaon,1324
7.2,Muhammad Bin Tughluq,"1325–1351",Silver,15.01,25,Sunargaon,N/A
7.3,Muhammad Bin Tughluq,"1325–1351",Silver,4.55,15,Sunargaon,1327
7.4,Muhammad Bin Tughluq,"1325–1351",Copper,11.26,"15x14 mm",Sunargaon,N/A
7.5,Muhammad Bin Tughluq,"1325–1351",Copper,11.29,"15x13 mm",Sunargaon,N/A
